Verb ID,Kanji,Kana,Meaning,Bing Prompt
n5_v_0001,会う,あう,to meet,"simple minimalist illustration of to meet, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0002,遊ぶ,あそぶ,to enjoy oneself, play,"simple minimalist illustration of to enjoy oneself, play, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0003,洗う,あらう,to wash,"simple minimalist illustration of to wash, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0004,ある,ある,to exist; be; have,"simple minimalist illustration of to exist; be; have, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0005,歩く,あるく,to walk,"simple minimalist illustration of to walk, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0006,言う,いう,to say,"simple minimalist illustration of to say, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0007,行く,いく,to go,"simple minimalist illustration of to go, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0008,急ぐ,いそぐ,to hurry,"simple minimalist illustration of to hurry, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0009,要る,いる,to need, require,"simple minimalist illustration of to need, require, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0010,動く,うごく,to move, work,"simple minimalist illustration of to move, work, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0011,歌う,うたう,to sing,"simple minimalist illustration of to sing, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0012,売る,うる,to sell,"simple minimalist illustration of to sell, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0013,置く,おく,to put,"simple minimalist illustration of to put, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0014,送る,おくる,to send; escort,"simple minimalist illustration of to send; escort, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0015,押す,おす,to push, press,"simple minimalist illustration of to push, press, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0016,思い出す,おもいだす,to remember, recollect,"simple minimalist illustration of to remember, recollect, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0017,思う,おもう,to think,"simple minimalist illustration of to think, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0018,泳ぐ,およぐ,to swim,"simple minimalist illustration of to swim, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0019,下ろす,おろす,to withdraw,"simple minimalist illustration of to withdraw, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0020,終わる,おわる,to finish,"simple minimalist illustration of to finish, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0021,買う,かう,to buy,"simple minimalist illustration of to buy, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0022,返す,かえす,to give back, return,"simple minimalist illustration of to give back, return, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0023,帰る,かえる,to go home, return,"simple minimalist illustration of to go home, return, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0024,掛かる,かかる,to take, cost (time or money),"simple minimalist illustration of to take, cost (time or money), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0025,書く,かく,to write, draw, paint,"simple minimalist illustration of to write, draw, paint, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0026,貸す,かす,to lend,"simple minimalist illustration of to lend, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0027,勝つ,かつ,to win,"simple minimalist illustration of to win, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0028,被る,かぶる,to put on (a hat, etc.),"simple minimalist illustration of to put on (a hat, etc.), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0029,頑張る,がんばる,to do one's best,"simple minimalist illustration of to do one's best, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0030,聞く,きく,to hear, listen,"simple minimalist illustration of to hear, listen, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0031,切る,きる,to cut, slice,"simple minimalist illustration of to cut, slice, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0032,消す,けす,to turn off,"simple minimalist illustration of to turn off, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0033,触る,さわる,to touch,"simple minimalist illustration of to touch, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0034,知る,しる,to get to know,"simple minimalist illustration of to get to know, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0035,吸う,すう,to breathe in; inhale,"simple minimalist illustration of to breathe in; inhale, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0036,住む,すむ,to live; reside,"simple minimalist illustration of to live; reside, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0037,座る,すわる,to sit down,"simple minimalist illustration of to sit down, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0038,出す,だす,to take out, hand in, send,"simple minimalist illustration of to take out, hand in, send, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0039,立つ,たつ,to stand up,"simple minimalist illustration of to stand up, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0040,使う,つかう,to use,"simple minimalist illustration of to use, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0041,着く,つく,to arrive,"simple minimalist illustration of to arrive, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0042,作る,つくる,to make,"simple minimalist illustration of to make, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0043,連れて行く,つれていく,to take (someone),"simple minimalist illustration of to take (someone), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0044,手伝う,てつだう,to help,"simple minimalist illustration of to help, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0045,泊まる,とまる,to stay,"simple minimalist illustration of to stay, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0046,取る,とる,to take,"simple minimalist illustration of to take, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0047,撮る,とる,to take (a photo),"simple minimalist illustration of to take (a photo), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0048,年を取る,としをとる,to grow old,"simple minimalist illustration of to grow old, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0049,直す,なおす,to repair,"simple minimalist illustration of to repair, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0050,無くす,なくす,to lose,"simple minimalist illustration of to lose, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0051,習う,ならう,to learn,"simple minimalist illustration of to learn, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0052,なる,なる,to become,"simple minimalist illustration of to become, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0053,脱ぐ,ぬぐ,to take off,"simple minimalist illustration of to take off, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0054,登る,のぼる,to climb,"simple minimalist illustration of to climb, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0055,飲む,のむ,to drink,"simple minimalist illustration of to drink, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0056,乗る,のる,to ride,"simple minimalist illustration of to ride, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0057,入る,はいる,to enter,"simple minimalist illustration of to enter, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0058,履く,はく,to put on,"simple minimalist illustration of to put on, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0059,働く,はたらく,to work,"simple minimalist illustration of to work, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0060,話す,はなす,to speak,"simple minimalist illustration of to speak, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0061,払う,はらう,to pay,"simple minimalist illustration of to pay, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0062,弾く,ひく,to play (instrument),"simple minimalist illustration of to play (instrument), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
