id,japanese,english,type,subtype
duo_0,"しょうせつ","novel",noun,
duo_1,"あそびたいです","want to play",verb,
duo_4,"後で","later, after, afterwards",adverb,
duo_5,"いたいです","hurts, painful, it hurts",adjective,
duo_6,"もうすこし","more, a bit longer",adverb,
duo_8,"会いたくないです","don't want to see, don't want to meet",verb,
duo_9,"ねました","went to sleep, slept",verb,
duo_11,"バナナ","banana",noun,
duo_12,"行きたくないです","do not want to go",verb,
duo_13,"食べたいです","want to eat",verb,
duo_14,"ねたいです","want to sleep",verb,
duo_15,"ブランケット","blanket",noun,
duo_17,"リモコン","remote, controller, controllers",noun,
duo_18,"アラーム","alarms, alarm",noun,
duo_19,"今","this, now, just",adverb,
duo_21,"ねむい","sleepy",adjective,
duo_23,"かたづけます","(will) clean up, going to tidy up",verb,
duo_24,"帰ります","am going home, goes home, am going back",verb,
duo_26,"いそがしくない","not busy",adjective,
duo_27,"チーズ","cheese",noun,
duo_29,"とおくない","not far",adjective,
duo_30,"ようじ","stuff to do",noun,
duo_31,"じてんしゃ","bike",noun,
duo_32,"ゆうがた","evening",noun,
duo_33,"前に","previously, ago, in front of",adverb,
duo_34,"車","car",noun,
duo_35,"さいたま","Saitama",noun,
duo_36,"はたち","twenty years old",noun,
duo_37,"になります","will be, becomes, become",verb,
duo_38,"四日","fourth, four days, 4th",counter,
duo_39,"三月","March",counter,
duo_40,"みかん","mandarin oranges",noun,
duo_41,"スキー","skiing, ski, skis",noun,
duo_44,"たのしくない","aren't fun",adjective,
duo_45,"スケート","skating, skate, ice skating",noun,
duo_46,"なべ","hot pot",noun,
duo_47,"くらくない","not dark",adjective,
duo_48,"一月","January",counter,
duo_49,"さつまいも","sweet potato",noun,
duo_51,"だんぼう","heater",noun,
duo_53,"夜","night, nights, evening",noun,
duo_54,"すいか","watermelon",noun,
duo_55,"つけます","put on, turns on, turn on",verb,
duo_56,"さくら","cherry blossoms",noun,
duo_58,"さきます","bloom, blooms, will bloom",verb,
duo_59,"住んでいます","live, lives",verb,
duo_60,"こんど","next time",noun,
duo_61,"八千","eight thousand",noun,
duo_64,"キラキラ","sparkle, glisten, sparkly",adjective,
duo_65,"マフラー","scarf",noun,
duo_66,"アクセサリー","accessories, jewelry, accessory",noun,
duo_67,"右","right",noun,
duo_70,"左","left",noun,
duo_71,"ふわふわ","fluffy",adjective,
duo_73,"メンズ","men's, men",noun,
duo_75,"パーカー","hoodie",noun,
duo_76,"まっすぐ","straight",adverb,
duo_77,"むらさき","purple",noun,
duo_78,"くつした","socks",noun,
duo_79,"ボロボロ","worn-out",adjective,
duo_81,"セーター","sweater",noun,
duo_82,"クラスメイト","classmates, classmate",noun,
duo_83,"ふくや","clothing store",noun,
duo_84,"えんぴつ","pencil",noun,
duo_86,"くうき","air",noun,
duo_87,"ドラッグストア","drugstore",noun,
duo_88,"ふべん","inconvenient",adjective,
duo_89,"ぎんこう","bank",noun,
duo_90,"しんせつ","nice, kind",adjective,
duo_91,"ゆうびんきょく","post office",noun,
duo_92,"しまります","close, closes",verb,
duo_93,"スタジアム","stadium",noun,
duo_94,"アメフト","football",noun,
duo_95,"先生","teacher, professor, Mr., Miss",noun,
duo_96,"木","tree, Thursday, wood",noun,
duo_97,"こうこう","high school",noun,
duo_99,"れきし","history",noun,
duo_101,"そつぎょうします","graduate",verb,
duo_102,"はいります","enter, join, go in",verb,
duo_103,"グッズ","merch",noun,
duo_104,"また","again, back, see you ...",adverb,
duo_105,"つかれました","was tired, am tired, is tired",verb,
duo_106,"もう","yet, now, already",adverb,
duo_108,"サイン","signature, signatures, autograph",noun,
duo_109,"ペン","pen",noun,
duo_110,"話したいです","want to talk",verb,
duo_111,"ひがしぐち","east exit",noun,
duo_112,"ならびます","(will) wait in line, (will) form a line, (will) queue",verb,
duo_113,"飲みたいです","want to drink",verb,
duo_115,"外","out, outside",noun,
duo_116,"もどります","will return, return",verb,
duo_118,"まんなか","middle",noun,
duo_120,"でかけたいです","want to go out",verb,
duo_121,"アーティスト","artist",noun,
duo_122,"今夜","tonight",noun,
duo_123,"行きたいです","would like to go, want to go, wants to go",verb,
duo_124,"会いたいです","want to meet",verb,
duo_126,"レジぶくろ","shopping bag, shopping bags",noun,
duo_127,"でんち","batteries",noun,
duo_128,"おもい","heavy",adjective,
duo_129,"グレー","gray",noun,
duo_131,"ケーブル","cable",noun,
duo_132,"スピーカー","speakers, speaker",noun,
duo_133,"ひかります","lights up",verb,
duo_134,"キーボード","keyboard",noun,
duo_135,"万","ten thousand",counter,
duo_137,"かるい","light, lightweight",adjective,
duo_138,"インチ","inches, inch",noun,
duo_139,"一万","ten thousand, 10,000",noun,
duo_140,"安い","inexpensive, cheap, cheaper",adjective,
duo_142,"前","ago, before, front",noun,
duo_143,"ゲーミング","gaming",noun,
duo_145,"おさら","plate",noun,
duo_146,"ナイフ","knife",noun,
duo_147,"きります","going to cut",verb,
duo_148,"あるきます","walk, walking, am walking",verb,
duo_149,"おもちゃ","toy",noun,
duo_151,"ヘッドホン","headphones",noun,
duo_152,"六百","six hundred",noun,
duo_153,"カップ","cup",noun,
duo_154,"フォーク","fork",noun,
duo_155,"百円ショップ","hundred yen shop",noun,
duo_156,"わたります","cross",verb,
duo_157,"ポテトチップス","chips, potato chips",noun,
duo_160,"みち","path, road, street",noun,
duo_161,"フライドチキン","fried chicken",noun,
duo_162,"円","circle, yen",noun,
duo_163,"家","house, home, homes",noun,
duo_164,"いとこ","(my) cousin, (my) cousins",noun,
duo_165,"タイご","Thai",noun,
duo_166,"ぞう","elephant",noun,
duo_167,"タイ","Thailand, Thai",noun,
duo_168,"来週","next week",noun,
duo_169,"れんしゅうしました","practiced",verb,
duo_170,"ピーナッツ","peanuts, (a) peanut",noun,
duo_171,"明日","tomorrow",noun,
duo_173,"ちば","Chiba",noun,
duo_174,"見つけました","found, caught",verb,
duo_175,"きのう","yesterday",noun,
duo_176,"クレープ","crepe",noun,
duo_177,"はじめて","for the first time",adverb,
duo_178,"あそびました","played",verb,
duo_179,"行きました","went, (I) went",verb,
duo_180,"先週","last week",noun,
duo_181,"食べました","ate, (I) ate, had",verb,
duo_182,"ぎんざ","Ginza",noun,
duo_183,"ぶんか","culture",noun,
duo_185,"来ました","have come, came, has arrived",verb,
duo_186,"先月","last month",noun,
duo_187,"きょねん","last year",noun,
duo_189,"トースト","toast",noun,
duo_190,"コーヒーメーカー","coffee maker",noun,
duo_192,"ぎゅうにゅう","milk",noun,
duo_193,"四階","fourth floor",counter,
duo_194,"タオル","towel",noun,
duo_196,"むりょう","free",adjective,
duo_197,"スパ","spa, spas",noun,
duo_198,"パスワード","password",noun,
duo_200,"ルームサービス","room service",noun,
duo_201,"こおり","ice",noun,
duo_202,"まえ","front",noun,
duo_205,"となり","next door, next to, neighboring",noun,
duo_207,"かぎ","key",noun,
duo_208,"ネット","internet",noun,
duo_209,"三日","third, three days",counter,
duo_210,"二日","two days, second, 2",counter,
duo_211,"とまりませんか","Shall we not stay",verb,
duo_212,"さがします","will look for, am going to look for",verb,
duo_214,"おつり","change",noun,
duo_215,"七つ","seven (things), seven",counter,
duo_217,"かいけい","cashier",noun,
duo_218,"おおい","a lot of, large, a lot",adjective,
duo_219,"えび","shrimp",noun,
duo_220,"六つ","six (things), six",counter,
duo_222,"ナプキン","napkin",noun,
duo_223,"マーボーどうふ","mapo tofu",noun,
duo_224,"はし","bridges, chopsticks, bridge",noun,
duo_225,"からい","spicy",adjective,
duo_226,"スープ","soup",noun,
duo_227,"五つ","five (things), five",counter,
duo_230,"二人","two people, they, two",counter,
duo_232,"メニュー","menu",noun,
duo_234,"つめたい","cold",adjective,
duo_235,"タピオカティー","bubble tea",noun,
duo_236,"ちゅうかがい","Chinatown",noun,
duo_237,"ちゅうかりょうり","Chinese food",noun,
duo_238,"あきます","opens, open",verb,
duo_239,"シーフード","seafood",noun,
duo_240,"ぎゅうにく","beef",noun,
duo_241,"こしょう","pepper",noun,
duo_242,"やきます","bake, am going to bake, grill",verb,
duo_243,"そと","outside, outdoors",noun,
duo_244,"すずしい","cool",adjective,
duo_246,"川","(the) river, (the) rivers, rivers",noun,
duo_247,"たのしみます","going to enjoy",verb,
duo_248,"雨","rain",noun,
duo_249,"くらい","dark",adjective,
duo_250,"ピクニック","picnic",noun,
duo_252,"一日","one day, first, a day",counter,
duo_253,"五月","May",counter,
duo_255,"キャンプ","camping",noun,
duo_256,"ハイキング","hiking",noun,
duo_257,"バックパック","backpack",noun,
duo_259,"すみ","corner",noun,
duo_260,"カラフルな","colorful",adjective,
duo_262,"カメレオン","chameleon",noun,
duo_263,"なんびき","how many",noun,
duo_266,"口","mouths, (a) mouth, tastes",noun,
duo_267,"トマト","tomato, tomatoes, (a) tomato",noun,
duo_270,"にひき","two animals",counter,
duo_272,"ちゃいろ","brown",noun,
duo_273,"パンケーキ","pancake",noun,
duo_274,"め","eye",noun,
duo_275,"いっぴき","one",counter,
duo_276,"カプチーノ","cappuccinos, (a) cappuccino",noun,
duo_279,"ねこ","cat",noun,
duo_280,"チェス","chess",noun,
duo_283,"ボードゲーム","board game",noun,
duo_285,"ルームメイト","roommate, roommates",noun,
duo_286,"りょう","dorm",noun,
duo_287,"駅","station, train station, stations",noun,
duo_288,"タガログご","Tagalog",noun,
duo_289,"ドイツご","German",noun,
duo_290,"げんご","language, languages",noun,
duo_291,"ドイツ","Germany, German",noun,
duo_292,"フィリピン","the Philippines",noun,
duo_294,"ビジネス","business",noun,
duo_296,"四年生","senior, seniors",counter,
duo_297,"三年生","third grade student, junior",counter,
duo_298,"サム","Sam",noun,
duo_299,"かい","are you, will you, buy",noun,
duo_300,"二年生","sophomore",counter,
duo_301,"一年生","freshman",counter,
duo_303,"みなみぐち","south exit",noun,
duo_304,"飲み物","beverage, drink, drinks",noun,
