verb_id,expected_text_label
n5_v_0001,TO MEET
n5_v_0002,TO PLAY
n5_v_0003,TO WASH
n5_v_0004,TO EXIST
n5_v_0005,TO WALK
n5_v_0006,TO SAY
n5_v_0007,TO GO
n5_v_0008,TO HURRY
n5_v_0009,TO NEED
n5_v_0010,TO MOVE
n5_v_0011,TO SING
n5_v_0012,TO SELL
n5_v_0013,TO PUT
n5_v_0014,TO SEND
n5_v_0015,TO PUSH
n5_v_0016,TO REMEMBER
n5_v_0017,TO THINK
n5_v_0018,TO SWIM
n5_v_0019,TO LOWER
n5_v_0020,TO FINISH
n5_v_0021,TO BUY
n5_v_0022,TO RETURN
n5_v_0023,TO GO HOME
n5_v_0024,TO TAKE TIME
n5_v_0025,TO WRITE
n5_v_0026,TO LEND
n5_v_0027,TO WIN
n5_v_0028,TO WEAR (HAT)
n5_v_0029,TRY HARD!
n5_v_0030,TO LISTEN
n5_v_0031,TO CUT
n5_v_0032,TO TURN OFF
n5_v_0033,TO TOUCH
n5_v_0034,TO KNOW
n5_v_0035,TO DRINK (STRAW)
n5_v_0036,TO LIVE
n5_v_0037,TO SIT
n5_v_0038,TO PUT OUT
n5_v_0039,TO STAND
n5_v_0040,TO USE
n5_v_0041,TO ARRIVE
n5_v_0042,TO MAKE
n5_v_0043,TO BRING SOMEONE
n5_v_0044,TO HELP
n5_v_0045,TO STAY OVERNIGHT
n5_v_0046,TO TAKE
n5_v_0047,TO PHOTOGRAPH
n5_v_0048,TO GROW OLDER
n5_v_0049,TO FIX
n5_v_0050,TO LOSE
n5_v_0051,TO LEARN
n5_v_0052,TO BECOME
n5_v_0053,TO TAKE OFF
n5_v_0054,TO CLIMB
n5_v_0055,TO DRINK
n5_v_0056,TO RIDE
n5_v_0057,TO ENTER
n5_v_0058,TO PUT ON
n5_v_0059,TO WORK
n5_v_0060,TO SPEAK
n5_v_0061,TO PAY
n5_v_0062,TO PLAY (INSTRUMENT)
n5_v_0063,TO PULL
n5_v_0064,TO FALL (RAIN/SNOW)
n5_v_0065,TO TURN
n5_v_0066,TO WAIT
n5_v_0067,TO TURN
n5_v_0068,TO HOLD
n5_v_0069,TO TAKE (SOMETHING)
n5_v_0070,TO RECEIVE
n5_v_0071,TO BE USEFUL
n5_v_0072,TO REST
n5_v_0073,TO CALL
n5_v_0074,TO READ
n5_v_0075,TO UNDERSTAND
n5_v_0076,TO CROSS
n5_v_0077,TO OPEN
n5_v_0078,TO GIVE
n5_v_0079,TO COLLECT
n5_v_0080,TO BATHE
n5_v_0081,TO EXIST (ANIMATE)
n5_v_0082,TO PUT IN
n5_v_0083,TO BE BORN
n5_v_0084,TO GET UP
n5_v_0085,TO TEACH; TO TELL
n5_v_0086,TO MEMORIZE
n5_v_0087,TO GET OFF
n5_v_0088,TO CHANGE
n5_v_0089,TO PUT ON
n5_v_0090,TO BORROW
n5_v_0091,TO THINK
n5_v_0092,TO WEAR
n5_v_0093,TO BE CAREFUL
n5_v_0094,TO GIVE (TO ME/US)
n5_v_0095,TO CLOSE
n5_v_0096,TO INVESTIGATE
n5_v_0097,TO THROW AWAY
n5_v_0098,TO EAT
n5_v_0099,TO BE ENOUGH
n5_v_0100,TO GET TIRED
n5_v_0101,TO TURN ON
n5_v_0102,TO GO OUT
n5_v_0103,TO BE ABLE TO
n5_v_0104,TO LEAVE
n5_v_0105,TO STOP
n5_v_0106,TO SLEEP
n5_v_0107,TO TRANSFER
n5_v_0108,TO START
n5_v_0109,TO LOSE
n5_v_0110,TO SHOW
n5_v_0111,TO SEE
n5_v_0112,TO WELCOME
n5_v_0113,TO QUIT
n5_v_0114,TO FORGET
n5_v_0115,TO COME
n5_v_0116,TO DO
n5_v_0117,TO GUIDE
n5_v_0118,TO DRIVE
n5_v_0119,TO GO SHOPPING
n5_v_0120,TO MARRY
n5_v_0121,TO TOUR
n5_v_0122,TO RESEARCH
n5_v_0123,TO COPY
n5_v_0124,TO TAKE A WALK
n5_v_0125,TO WORK OVERTIME
n5_v_0126,TO REPAIR
n5_v_0127,TO BE DIFFERENT
n5_v_0128,TO GO ON A BUSINESS TRIP
n5_v_0129,TO WORK
n5_v_0130,TO INTRODUCE
n5_v_0131,TO BEGIN
n5_v_0132,TO HAVE A MEAL
n5_v_0133,TO RETURN
n5_v_0134,TO WORRY
n5_v_0135,TO DRIVE (FOR PLEASURE)
n5_v_0136,TO EXPLAIN
n5_v_0137,TO ANNOUNCE
n5_v_0138,TO DO LAUNDRY
n5_v_0139,TO ANSWER
n5_v_0140,TO CLEAN
n5_v_0141,TO BE SAVED
n5_v_0142,TO CALL
n5_v_0143,TO ARRANGE
n5_v_0144,TO STUDY
n5_v_0145,TO PUT ON MAKEUP
n5_v_0146,TO RESERVE
n5_v_0147,TO DECIDE
n5_v_0148,TO STUDY ABROAD
n5_v_0149,TO LAUGH
n5_v_0150,TO BRING (SOMEONE)
n5_v_0151,TO CRY
n5_v_0152,TO BRING (SOMETHING)
n5_v_0153,TO FIGHT
n5_v_0154,TO RUN
n5_v_0155,TO DANCE
n5_v_0156,TO TAKE A BREAK
n5_v_0157,TO DIE
n5_v_0158,TO TRAVEL
n5_v_0159,TO VISIT (HUMBLE)
n5_v_0160,TO COOK
n5_v_0161,TO BOIL (FOOD)
n5_v_0162,TO BOIL (WATER)
n5_v_0163,TO BE LATE
n5_v_0164,TO DRY
n5_v_0165,TO BLOOM
n5_v_0166,TO PROTECT
n5_v_0167,TO CONTINUE
n5_v_0168,TO BE EMPTY
n5_v_0169,TO KEEP
n5_v_0170,TO CARE ABOUT
n5_v_0171,TO PREPARE
n5_v_0172,TO BE PLEASED
n5_v_0173,TO STOP (INTRANSITIVE)
n5_v_0174,TO PARK (VEHICLE)
n5_v_0175,TO OVERWORK
n5_v_0176,TO SEPARATE
n5_v_0177,TO HAND OUT
n5_v_0178,TO PRACTICE
n5_v_0179,TO OVERFLOW
n5_v_0180,TO APOLOGIZE
n5_v_0181,TO WARM UP (FOOD)
n5_v_0182,TO HURT
n5_v_0183,TO STIR-FRY
n5_v_0184,TO HIT
n5_v_0185,TO DROP
n5_v_0186,TO HANG (CLOTHES)
n5_v_0187,TO TIDY UP
n5_v_0188,TO DRY (INTRANSITIVE)
n5_v_0189,TO KICK
n5_v_0190,TO FALL DOWN
n5_v_0191,TO CONSULT
n5_v_0192,TO SEARCH
n5_v_0193,TO ASK A QUESTION
n5_v_0194,TO SCOLD
n5_v_0195,TO COUGH
n5_v_0196,TO SLIP
n5_v_0197,TO FOLD
n5_v_0198,TO ASK
n5_v_0199,TO ASK
n5_v_0200,TO VISIT (PERSON)
n5_v_0201,TO CONVEY
n5_v_0202,TO SUBMIT
n5_v_0203,TO JUMP
n5_v_0204,TO CATCH
n5_v_0205,TO HEAL
n5_v_0206,TO THROW
n5_v_0207,TO STRETCH
n5_v_0208,TO STICK
n5_v_0209,TO SWEEP
n5_v_0210,TO VOMIT
n5_v_0211,TO SWELL
n5_v_0212,TO COOL
n5_v_0213,TO PICK UP
n5_v_0214,TO PRAISE
n5_v_0215,TO BUMP INTO
n5_v_0216,TO WIPE
n5_v_0217,TO REVIEW (LESSONS)
n5_v_0218,TO BEND
n5_v_0219,TO MIX
n5_v_0220,TO FIND
n5_v_0221,TO POLISH
n5_v_0222,TO GET WET
