Verb ID,Kanji,Kana,Meaning,Bing Cartoon Prompt
n5_v_0001,会う,あう,to meet,"cute cartoon illustration of person to meet, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0002,遊ぶ,あそぶ,to enjoy oneself, play,"cute cartoon illustration of person to enjoy oneself, play, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0003,洗う,あらう,to wash,"cute cartoon illustration of person to wash, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0004,ある,ある,to exist; be; have,"cute cartoon illustration of person to exist; be; have, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0005,歩く,あるく,to walk,"cute cartoon illustration of person to walk, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0006,言う,いう,to say,"cute cartoon illustration of person to say, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0007,行く,いく,to go,"cute cartoon illustration of person to go, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0008,急ぐ,いそぐ,to hurry,"cute cartoon illustration of person to hurry, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0009,要る,いる,to need, require,"cute cartoon illustration of person to need, require, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0010,動く,うごく,to move, work,"cute cartoon illustration of person to move, work, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0011,歌う,うたう,to sing,"cute cartoon illustration of person to sing, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0012,売る,うる,to sell,"cute cartoon illustration of person to sell, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0013,置く,おく,to put,"cute cartoon illustration of person to put, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0014,送る,おくる,to send; escort,"cute cartoon illustration of person to send; escort, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0015,押す,おす,to push, press,"cute cartoon illustration of person to push, press, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0016,思い出す,おもいだす,to remember, recollect,"cute cartoon illustration of person to remember, recollect, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0017,思う,おもう,to think,"cute cartoon illustration of person to think, simple anime style, kawaii character, colorful, white background, friendly and educational"
